Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Unbox Robotics,2019,Bangalore,Technology And Software,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First",1200000.0,Validation,2021
upGrad,2015,Mumbai,Education And Learning,UpGrad is an online higher education platform.,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","Unilazer Ventures, IIFL Asset Management",120000000.0,Scaling,2021
Lead School,2012,Mumbai,Education And Learning,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital",30000000.0,Scaling,2021
Bizongo,2015,Mumbai,E-Commerce And Retail,Bizongo is a business-to-business online marketplace for packaging products.,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital",51000000.0,Scaling,2021
FypMoney,2021,Gurugram,Finance And Technology,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2000000.0,Validation,2021
Urban Company,2014,New Delhi,Construction And Home Services,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia","Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital,188000000.0,Scaling,2021
Comofi Medtech,2018,Bangalore,Healthcare And Health Technology,Comofi Medtech is a healthcare robotics startup.,Gururaj KB,"CIIE.CO, KIIT-TBI",200000.0,Debt,2021
Qube Health,2016,Mumbai,Healthcare And Health Technology,India's Most Respected Workplace Healthcare Management Company,Gagan Kapur,Inflection Point Ventures,4000000.0,Validation,2021
Vitra.ai,2020,Bangalore,Technology And Software,Vitra.ai is an AI-based video translation platform,Akash Nidhi PS,Inflexor Ventures,4000000.0,Debt,2021
Taikee,2010,Mumbai,E-Commerce And Retail,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.","Nidhi Ramachandran, Sachin Chhabra",Not filled,1000000.0,Debt,2021
Fitterfly,2016,Mumbai,Healthcare And Health Technology,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures",3000000.0,Validation,2021
FreeStand,2017,New Delhi,E-Commerce And Retail,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"Konark Sharma, Sneh Soni","SucSEED Indovation, IIM Calcutta Innovation Park",100000.0,Debt,2021
MyDentalPlan,2014,Bangalore,Healthcare And Health Technology,My Dental Plan provides dental care packages and services.,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,700000.0,Validation,2021
Freyr Energy,2014,Hyderabad,Energy And Environment,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Radhika Choudary, Saurabh Marda","Impact Partners, C4D Partners",2000000.0,Debt,2021
DealShare,2018,Jaipur,E-Commerce And Retail,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital",9000000.0,Equity,2021
Tessolve,1993,Bangalore,Technology Solutions For Industry,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.","P Raja Manickam, Srinivas Chinamilli, Veerappan V",Novo Tellus Capital,40000000.0,Equity,2021
Smart Joules,2014,New Delhi,Energy And Environment,Smart Joules is an energy management company.,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm",49000000.0,Equity,2021
ORAI,2020,Bangalore,Technology And Software,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,400000.0,Validation,2021
ixamBee,2016,New Delhi,Education And Learning,ixamBee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha",300000.0,Validation,2021
CoinSwitch Kuber,2017,Bangalore,Finance And Technology,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",25000000.0,Scaling,2021
Razorpay,2014,Bangalore,Finance And Technology,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC",160000000.0,Scaling,2021
Uable,2020,Bangalore,Education And Learning,Uable offers role based programmes to empower children to explore different domains.,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia",4000000.0,Validation,2021
ZFW Hospitality,2015,New Delhi,Consumer Goods And Services,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO",150000.0,Ideation,2021
Optimized Electrotech,2017,Ahmedabad,Defence And Aviation,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection","Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,1800000.0,Validation,2021
Northern Arc,2008,Chennai,Finance And Technology,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,Kshama Fernandes,"Kotak Mahindra Bank, FMO",5000000.0,Debt,2021
Chara,2019,Bangalore,Technology And Software,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.","Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,850000.0,Validation,2021
Sirona Hygiene,2015,New Delhi,Healthcare And Health Technology,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund",3000000.0,Early Traction,2021
Pristyn Care,2018,Gurugram,Healthcare And Health Technology,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",53000000.0,Scaling,2021
TrulyMadly,2013,New Delhi,Social Networking,Trulymadly is a dating platform that uses a match making algorithm.,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor",2000000.0,Validation,2021
Jambox Games,2021,Bangalore,Consumer Goods And Services,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",Ravi Vyas,Not filled,1100000.0,Validation,2021
Miko,2015,Mumbai,Technology And Software,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Chiratae Ventures, YourNest Venture Capital",6000000.0,Debt,2021
SuperK,2019,Andhra Pradesh,E-Commerce And Retail,SuperK is a full-stack solution to empower small format retail stores in India.,Neeraj Menta,STRIVE VC,800000.0,Validation,2021
TagZ Foods,2019,Bangalore,Consumer Goods And Services,TagZ Foods is a supplier of snacks and food products.,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,500000.0,Validation,2021
Fuel Buddy,2017,New Delhi,Energy And Environment,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Aditya Singh,Jaipuria Family Office,1000000.0,Debt,2021
M1xchange,2017,Gurugram,Finance And Technology,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,Amazon,10000000.0,Equity,2021
Spintly,2017,Goa,Technology And Software,Wireless cloud based access control platform,Rohin Parkar,Riso Capital,500000.0,Debt,2021
EF Polymer,2018,Rajsamand,Agriculture And Technology,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,Narayan Lal Gurjar,MTG Ventures,200000.0,Debt,2021
boAt,2016,New Delhi,Technology Solutions For Industry,boAt is a consumer electronics and lifestyle company.,"Aman Gupta, Sameer Mehta","Qualcomm Ventures, Warburg Pincus",6000000.0,Debt,2021
TruNativ,2019,Mumbai,Consumer Goods And Services,TruNativ Foods & Beverages Pvt Ltd,"Pranav Malhotra, Mamta Malhotra",9Unicorns,4000000.0,Validation,2021
iBus,2010,Bangalore,Technology Solutions For Industry,iBus Networks is an in-building connectivity solutions company,"Ram Sellaratnam, Sunil Menon and Subash Vasudevan",Morgan Stanley,21000000.0,Equity,2021
Puresh Daily,2019,Ranchi,Consumer Goods And Services,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners",100000.0,Validation,2021
LearnVern,2016,Ahmedabad,Education And Learning,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,"Niral Modi, Aditi Modi",Not filled,1000000.0,Debt,2021
